"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"27",732,1779,NA,NA,NA,"Coal","Sept",9,"open",4,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen4"
"28",733,1499,NA,NA,NA,"Coal","Aug",11,"open",5,"PT","ET",7,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen5"
"29",734,1506,NA,NA,NA,"Coal","Aug",11,"open",6,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen6"
"30",735,1670,NA,NA,NA,"Coal","July",19,"open",6,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyopen6"
"31",736,1683,NA,NA,NA,"Coal","July",19,"open",7,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalJulyopen7"
"32",737,1805,NA,NA,NA,"Coal","Sept",9,"open",7,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen7"
"33",738,1530,NA,NA,NA,"Coal","Aug",11,"open",8,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen8"
"34",739,1820,NA,NA,NA,"Coal","Sept",9,"open",8,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalSeptopen8"
"35",740,1543,NA,NA,NA,"Coal","Aug",11,"open",9,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen9"
"36",741,1551,NA,NA,NA,"Coal","Aug",11,"open",10,"PT","ET",5,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"CoalAugopen10"
