"","K","PIC.variance.obs","PIC.variance.rnd.mean","PIC.variance.P","PIC.variance.Z"
"Eyel.w",0.25329860741957,3.74213321514417e-05,4.70907122204247e-05,0.498,-0.287650846536949
"Femur.w",0.55842422753486,0.000339939479090563,0.000995475165948731,0.143,-0.896355203314037
"Headl.w",0.511392991793822,0.000128282604328597,0.000331671989838265,0.145,-0.869434044777324
"Headw.w",0.80468327498429,0.000127705910610588,0.000545090386339562,0.027,-0.943850628583512
"Mandible.w",0.514683507908823,6.16952355489571e-05,0.00015908119969567,0.166,-0.803038480756551
"Scape.w",0.500315808233513,0.000326511714345432,0.000815955845837399,0.204,-0.737016364135124
"Webers",0.580585194592495,0.00548683542532701,0.0162394566262225,0.149,-0.920055176308061
