"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"246",0,4,0,0,0,0,0,0,0,0,0,1,0,"LokAugopen5"
"247",0,1,0,0,0,0,0,0,0,0,0,0,0,"LokAugopen6"
"248",0,0,0,0,0,0,0,0,0,0,0,76,0,"LokAugopen8"
"249",0,2,0,0,0,0,0,0,0,0,0,1,0,"LokAugshrub1"
"250",0,1,0,0,0,0,0,0,0,0,0,0,0,"LokAugshrub10"
"251",0,4,0,0,0,0,0,0,0,0,0,0,0,"LokAugshrub12"
"252",0,0,0,0,0,0,0,0,0,0,0,273,0,"LokAugshrub5"
"253",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokAugshrub8"
"254",0,0,0,0,0,0,0,1,0,0,0,0,0,"LokAugshrub9"
"255",0,1,0,0,0,0,0,0,0,0,0,1,0,"LokJulyopen10"
"256",0,0,0,0,0,0,0,1,0,0,0,4,0,"LokJulyopen12"
"257",0,6,0,0,0,4,0,0,0,0,0,11,0,"LokJulyopen2"
"258",0,3,0,0,0,0,0,0,0,0,0,14,0,"LokJulyopen3"
"259",0,4,0,0,0,0,0,0,0,0,0,15,0,"LokJulyopen4"
"260",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokJulyopen5"
"261",0,1,0,0,0,0,0,0,0,0,0,0,0,"LokJulyopen6"
"262",0,0,0,0,0,0,0,0,0,0,0,1,0,"LokJulyshrub10"
"263",0,1,0,0,0,0,0,0,0,0,0,2,0,"LokJulyshrub11"
"264",0,0,0,0,0,0,0,0,0,0,0,32,0,"LokJulyshrub12"
"265",0,0,0,0,0,0,1,0,0,0,0,4,0,"LokJulyshrub2"
"266",0,2,0,0,0,0,0,0,0,0,0,2,0,"LokJulyshrub3"
"267",0,1,0,0,0,0,0,0,0,0,0,1,0,"LokJulyshrub4"
