"","Cardiocondyla","Cyphomyrmex","Dorymyrmex","Forelius","Messor","Myrmecocystus","Pheidole","Pogonomyrmex","Solenopsis"
"149",0,0,0,0,0,0,20,0,1
"150",0,0,1,0,0,0,0,0,28
"151",0,0,1,0,0,0,0,0,1
"152",0,0,0,0,0,0,0,0,4
"153",0,0,6,0,4,0,0,0,11
"154",0,0,3,0,0,0,0,0,14
"155",0,0,4,0,0,0,0,0,15
"156",0,0,0,0,0,0,0,0,1
"157",0,0,1,0,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,1
"159",0,0,1,0,0,0,0,0,2
"160",0,0,0,0,0,0,0,0,32
"161",0,0,0,0,0,1,0,0,4
"162",0,0,2,0,0,0,0,0,2
"163",0,0,1,0,0,0,0,0,1
"164",0,0,1,0,0,0,0,0,1
"165",0,0,0,0,0,0,0,0,1
"166",0,0,0,0,0,0,0,0,1
"167",0,0,0,0,0,1,0,0,1
"168",0,0,0,0,0,0,0,0,10
"169",0,0,0,0,0,0,0,0,4
"170",0,0,0,0,0,1,0,0,0
"171",0,0,0,0,0,0,0,0,18
"172",0,0,0,0,0,0,0,0,43
"173",0,0,0,0,0,0,0,0,5
"174",0,0,0,0,0,0,0,0,7
"175",0,0,0,0,0,0,0,0,16
"176",0,0,0,0,0,0,1,0,7
"177",0,0,0,0,0,0,0,0,1
"178",0,0,0,0,0,0,0,0,9
"179",0,0,7,0,0,0,0,0,71
"180",0,0,0,0,0,0,0,0,150
"181",0,0,0,0,0,1,0,0,0
"182",0,0,0,0,0,0,0,0,2
"183",0,0,0,0,0,0,0,0,2
"184",0,0,0,0,0,0,0,0,1
"185",0,0,0,0,0,0,0,0,6
"186",0,0,0,0,0,0,0,0,9
"187",0,0,0,0,0,0,0,0,114
"188",0,0,0,0,0,0,0,0,10
"189",0,0,0,0,0,0,0,0,52
"190",0,0,0,0,0,0,0,0,3
"191",0,0,0,0,0,0,0,0,1
"192",0,0,0,0,0,0,0,0,25
"193",0,0,0,0,0,0,0,0,2
"194",0,0,0,0,0,0,0,0,3
"195",0,0,0,0,0,0,0,0,16
"196",0,0,0,0,0,0,0,0,47
"197",0,0,0,0,0,0,0,0,9
