"","gabi_acc_number","accession_number","citation","genus_name_pub","species_name_pub","valid_species_name","type_of_data","dubious","note_dubious","locality","country","adm1","adm2","dec_lat","dec_long","bentity2_name","insert_date","update_date"
"31","GABI_01165831","iDigBio-0097481","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","3 miles N of Gillet at Karnes Co line, just inside county","USA","Texas","Karnes","28.85911","-97.8772","Texas","2015/04/03 10:44:46.546818+09","2019/06/30 09:45:05.602033+09"
"32","GABI_01170270","iDigBio-0106560","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","4 miles S of Fort Davis","USA","Texas","Jeff Davis","30.94464","-103.27972","Texas","2015/04/03 10:44:50.613005+09","2019/06/30 09:45:05.602033+09"
"33","GABI_01170324","iDigBio-0106628","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","16 miles N of Laredo Kerrville","USA","Texas","Webb","27.94103","-99.40979","Texas","2015/04/03 10:44:50.646014+09","2019/06/30 09:45:05.602033+09"
"34","GABI_01171806","iDigBio-0109650","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Great Falls, along little Colorado River, rt 70 Ensenada Municipality","USA","Arizona","Coconino","35.42946306","-111.1965594","Arizona","2015/04/03 10:44:52.116919+09","2019/06/30 09:45:05.602033+09"
"35","GABI_01171979","iDigBio-0109890","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Great Falls, along little Colorado River, rt 70","USA","Arizona","Coconino","35.42946306","-111.1965594","Arizona","2015/04/03 10:44:52.294089+09","2019/06/30 09:45:05.602033+09"
"36","GABI_01173578","iDigBio-0112996","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","Great Falls, along little Colorado River, rt 70 Ballinger","USA","Arizona","Coconino","35.42946306","-111.1965594","Arizona","2015/04/03 10:44:53.681373+09","2019/06/30 09:45:05.602033+09"
"37","GABI_01175081","iDigBio-0116031","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","25.5 miles NW of Miami","USA","Texas","Roberts","36.00023","-100.9259","Texas","2015/04/03 10:44:54.935507+09","2019/06/30 09:45:05.602033+09"
"38","GABI_01176150","iDigBio-0118138","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","13 miles SE of Fabens (10 miles NW of Fort Hancock)","USA","Texas","Hudspeth","31.55981","-104.90295","Texas","2015/04/03 10:44:55.838372+09","2019/06/30 09:45:05.602033+09"
"39","GABI_01176933","iDigBio-0119533","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","20km WSW Patterson","USA","California","Stanislaus","37.42322","-121.3459","California","2015/04/03 10:44:56.54061+09","2019/06/30 09:45:05.602033+09"
"40","GABI_01177787","iDigBio-0121082","iDigBio (6th May 2014)","Solenopsis","xyloni ","Solenopsis.xyloni","Museum Specimen","","","30 miles S of Sierra Blanca (Indian Hot Springs)","USA","Texas","Hudspeth","31.55981","-104.90295","Texas","2015/04/03 10:44:57.331658+09","2019/06/30 09:45:05.602033+09"
