"","gabi_acc_number","accession_number","citation","genus_name_pub","species_name_pub","valid_species_name","type_of_data","dubious","note_dubious","locality","country","adm1","adm2","dec_lat","dec_long","bentity2_name","insert_date","update_date"
"452","GABI_02327986","Benoit-Lit-Data-995145","UAiC_UAiC1030980_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","NE Maricopa","USA","Arizona","Pinal","33.05806","-112.04694","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"453","GABI_02327991","Benoit-Lit-Data-995122","UAiC_UAiC1030957_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"454","GABI_02327992","Benoit-Lit-Data-995126","UAiC_UAiC1030961_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"455","GABI_02327993","Benoit-Lit-Data-995127","UAiC_UAiC1030962_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"456","GABI_02327994","Benoit-Lit-Data-995130","UAiC_UAiC1030965_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"457","GABI_02327995","Benoit-Lit-Data-995132","UAiC_UAiC1030967_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"458","GABI_02327996","Benoit-Lit-Data-995135","UAiC_UAiC1030970_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"459","GABI_02327997","Benoit-Lit-Data-995159","UAiC_UAiC1030994_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Stanfield","USA","Arizona","Pinal","32.8825","-111.96139","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"460","GABI_02327998","Benoit-Lit-Data-990220","UAiC_UAiC1025857_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tempe","USA","Arizona","Maricopa","33.41472","-111.90861","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"461","GABI_02327999","Benoit-Lit-Data-995120","UAiC_UAiC1030955_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"462","GABI_02328000","Benoit-Lit-Data-995121","UAiC_UAiC1030956_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:45.154261+09","2019/06/30 09:45:05.602033+09"
"463","GABI_02328003","Benoit-Lit-Data-995133","UAiC_UAiC1030968_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"464","GABI_02328004","Benoit-Lit-Data-995134","UAiC_UAiC1030969_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"465","GABI_02328005","Benoit-Lit-Data-995137","UAiC_UAiC1030972_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"466","GABI_02328006","Benoit-Lit-Data-995141","UAiC_UAiC1030976_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"467","GABI_02328007","Benoit-Lit-Data-995142","UAiC_UAiC1030977_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"468","GABI_02328008","Benoit-Lit-Data-995146","UAiC_UAiC1030981_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"469","GABI_02328009","Benoit-Lit-Data-995147","UAiC_UAiC1030982_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"470","GABI_02328010","Benoit-Lit-Data-995152","UAiC_UAiC1030987_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"471","GABI_02328011","Benoit-Lit-Data-995158","UAiC_UAiC1030993_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Casa Grande","USA","Arizona","Pinal","32.87944","-111.75667","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"472","GABI_02328012","Benoit-Lit-Data-995129","UAiC_UAiC1030964_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","29.93km SW Casa Grande","USA","Arizona","Pinal","32.994505","-111.537625","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"473","GABI_02328013","Benoit-Lit-Data-995139","UAiC_UAiC1030974_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","18.99km SW Casa Grande","USA","Arizona","Pinal","32.994505","-111.537625","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"474","GABI_02328014","Benoit-Lit-Data-995136","UAiC_UAiC1030971_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Coolidge","USA","Arizona","Pinal","32.97778","-111.51694","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"475","GABI_02328015","Benoit-Lit-Data-995148","UAiC_UAiC1030983_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","20.12km SW Picacho","USA","Arizona","Pinal","32.716176","-111.495397","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"476","GABI_02328016","Benoit-Lit-Data-995154","UAiC_UAiC1030989_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","15.48km SW Picacho","USA","Arizona","Pinal","32.716176","-111.495397","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"477","GABI_02328017","Benoit-Lit-Data-995160","UAiC_UAiC1030995_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","32.67km E Picacho","USA","Arizona","Pinal","32.716176","-111.495397","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"478","GABI_02328018","Benoit-Lit-Data-995123","UAiC_UAiC1030958_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","N Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"479","GABI_02328019","Benoit-Lit-Data-995125","UAiC_UAiC1030960_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"480","GABI_02328020","Benoit-Lit-Data-995138","UAiC_UAiC1030973_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"481","GABI_02328021","Benoit-Lit-Data-995140","UAiC_UAiC1030975_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"482","GABI_02328022","Benoit-Lit-Data-995149","UAiC_UAiC1030984_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"483","GABI_02328023","Benoit-Lit-Data-995153","UAiC_UAiC1030988_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"484","GABI_02328024","Benoit-Lit-Data-995155","UAiC_UAiC1030990_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"485","GABI_02328025","Benoit-Lit-Data-995157","UAiC_UAiC1030992_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Picacho","USA","Arizona","Pinal","32.71611","-111.49472","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"486","GABI_02328027","Benoit-Lit-Data-983137","TTU-Z_TTU-Z_006720_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Ruby Road, Sycamore Canyon","USA","Arizona","Santa Cruz","31.3595","-111.06216","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"487","GABI_02328028","Benoit-Lit-Data-990272","UAiC_UAiC1025909_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Continental","USA","Arizona","Pima","31.85222","-110.97417","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"488","GABI_02328031","Benoit-Lit-Data-990259","UAiC_UAiC1025896_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson, Rillioto Park","USA","Arizona","Pima","32.221743","-110.926479","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"489","GABI_02328032","Benoit-Lit-Data-990210","UAiC_UAiC1025847_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Tucson","USA","Arizona","Pima","32.22167","-110.92583","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"490","GABI_02328083","Benoit-Lit-Data-995480","UAiC_UAiC1031317_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"491","GABI_02328084","Benoit-Lit-Data-995481","UAiC_UAiC1031318_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"492","GABI_02328085","Benoit-Lit-Data-995482","UAiC_UAiC1031319_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"493","GABI_02328086","Benoit-Lit-Data-995483","UAiC_UAiC1031320_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"494","GABI_02328087","Benoit-Lit-Data-995484","UAiC_UAiC1031321_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"495","GABI_02328088","Benoit-Lit-Data-995485","UAiC_UAiC1031322_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Saguaro National Park, Tucson","USA","Arizona","Pima","32.178934","-110.60772","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"496","GABI_02328089","Benoit-Lit-Data-990262","UAiC_UAiC1025899_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Elgin","USA","Arizona","Santa Cruz","31.659813","-110.525356","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"497","GABI_02328090","Benoit-Lit-Data-990274","UAiC_UAiC1025913_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Elgin","USA","Arizona","Santa Cruz","31.659813","-110.525356","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"498","GABI_02328091","Benoit-Lit-Data-990253","UAiC_UAiC1025890_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"499","GABI_02328092","Benoit-Lit-Data-990254","UAiC_UAiC1025891_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"500","GABI_02328093","Benoit-Lit-Data-990255","UAiC_UAiC1025892_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"501","GABI_02328094","Benoit-Lit-Data-990256","UAiC_UAiC1025893_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"502","GABI_02328095","Benoit-Lit-Data-990257","UAiC_UAiC1025894_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"503","GABI_02328096","Benoit-Lit-Data-990258","UAiC_UAiC1025895_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"504","GABI_02328097","Benoit-Lit-Data-990275","UAiC_UAiC1025914_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Redington","USA","Arizona","Pima","32.4275","-110.4925","Arizona","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"505","GABI_02328099","Benoit-Lit-Data-1002615","UCMC_UCMC 0160121_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Antioch","USA","California","Contra Costa County","37.9982","-121.8003","California","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"506","GABI_02328100","Benoit-Lit-Data-1002531","UCMC_UCMC 0159934_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Orange County","USA","California","Orange County","33.6769","-117.7762","California","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"507","GABI_02328101","Benoit-Lit-Data-997314","UCMC_UCMC 0103038_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","La Jolla","USA","California","San Diego County","32.8473","-117.2742","California","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"508","GABI_02328102","Benoit-Lit-Data-997315","UCMC_UCMC 0103040_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","La Jolla","USA","California","San Diego County","32.8473","-117.2742","California","2019/04/05 03:02:49.028999+09","2019/06/30 09:45:05.602033+09"
"509","GABI_02328135","Benoit-Lit-Data-997316","UCMC_UCMC 0103042_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Higbee","USA","Colorado","Otero County","37.7764","-103.4595","Colorado","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"510","GABI_02328136","Benoit-Lit-Data-997317","UCMC_UCMC 0103043_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Higbee","USA","Colorado","Otero County","37.7764","-103.4595","Colorado","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"511","GABI_02328137","Benoit-Lit-Data-997318","UCMC_UCMC 0103044_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Higbee","USA","Colorado","Otero County","37.7764","-103.4595","Colorado","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"512","GABI_02328138","Benoit-Lit-Data-997319","UCMC_UCMC 0103045_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Higbee","USA","Colorado","Otero County","37.7764","-103.4595","Colorado","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"513","GABI_02328139","Benoit-Lit-Data-997320","UCMC_UCMC 0103046_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Higbee","USA","Colorado","Otero County","37.7764","-103.4595","Colorado","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"514","GABI_02328146","Benoit-Lit-Data-975418","RiNVRT_82353_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"515","GABI_02328147","Benoit-Lit-Data-975419","RiNVRT_82354_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"516","GABI_02328148","Benoit-Lit-Data-975420","RiNVRT_82355_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"517","GABI_02328149","Benoit-Lit-Data-975421","RiNVRT_82356_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"518","GABI_02328150","Benoit-Lit-Data-975422","RiNVRT_82357_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"519","GABI_02328151","Benoit-Lit-Data-975423","RiNVRT_82358_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"520","GABI_02328152","Benoit-Lit-Data-975424","RiNVRT_82359_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"521","GABI_02328153","Benoit-Lit-Data-975425","RiNVRT_82360_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"522","GABI_02328154","Benoit-Lit-Data-975426","RiNVRT_82361_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"523","GABI_02328155","Benoit-Lit-Data-975427","RiNVRT_82362_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"524","GABI_02328144","Benoit-Lit-Data-980832","TTU-Z_TTU-Z_004181_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Rio Grande, Las Cruces","USA","New Mexico","Doña Ana County","32.25576","-106.69647","New Mexico","2019/04/05 03:02:52.650561+09","2019/08/15 16:17:22.86592+09"
"525","GABI_02328156","Benoit-Lit-Data-975428","RiNVRT_82363_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"526","GABI_02328157","Benoit-Lit-Data-975429","RiNVRT_82364_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"527","GABI_02328158","Benoit-Lit-Data-975430","RiNVRT_82365_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"528","GABI_02328159","Benoit-Lit-Data-975431","RiNVRT_82366_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"529","GABI_02328160","Benoit-Lit-Data-975432","RiNVRT_82367_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"530","GABI_02328161","Benoit-Lit-Data-975433","RiNVRT_82368_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"531","GABI_02328162","Benoit-Lit-Data-975434","RiNVRT_82369_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"532","GABI_02328163","Benoit-Lit-Data-975435","RiNVRT_82370_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"533","GABI_02328164","Benoit-Lit-Data-975436","RiNVRT_82371_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"534","GABI_02328165","Benoit-Lit-Data-975437","RiNVRT_82372_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"535","GABI_02328166","Benoit-Lit-Data-975438","RiNVRT_82373_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"536","GABI_02328167","Benoit-Lit-Data-975439","RiNVRT_82374_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"537","GABI_02328168","Benoit-Lit-Data-975440","RiNVRT_82375_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"538","GABI_02328169","Benoit-Lit-Data-975441","RiNVRT_82376_","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","Wichita Mountains Wildlife Refuge","USA","Oklahoma","Comanche","34.753131","-98.669101","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"539","GABI_02328170","Benoit-Lit-Data-983278","TTU-Z_TTU-Z_006900_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","1/2 miles N of Red River (Highway 35)","USA","Oklahoma","Love","34.72319","-97.20703","Oklahoma","2019/04/05 03:02:52.650561+09","2019/06/30 09:45:05.602033+09"
"540","GABI_02328208","Benoit-Lit-Data-985606","TTU-Z_TTU-Z_021523_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","9.5 miles East of Crowell","USA","Texas","Foard","34.03218","-99.72839","Texas","2019/04/05 03:02:55.401827+09","2019/06/30 09:45:05.602033+09"
"541","GABI_02328209","Benoit-Lit-Data-985694","TTU-Z_TTU-Z_021612_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","7.0 mi S of Haskell","USA","Texas","Haskell","32.68562","-99.81079","Texas","2019/04/05 03:02:55.401827+09","2019/06/30 09:45:05.602033+09"
"542","GABI_02328210","Benoit-Lit-Data-985697","TTU-Z_TTU-Z_021615_TTU1997-058","Solenopsis","xyloni","Solenopsis.xyloni","Museum Specimen","","","7.0 mi S of Haskell","USA","Texas","Haskell","32.68562","-99.81079","Texas","2019/04/05 03:02:55.401827+09","2019/06/30 09:45:05.602033+09"
