Photo,Label,,Measure,Trait,
Mov 1.11.jpg,3,-157.981,0.442,Mandible length,Pheidole hyatti
Mov 1.11.jpg,4,-109.861,0.727,Head length,Pheidole hyatti
Mov 1.11.jpg,5,-112.203,0.159,Eye length,Pheidole hyatti
Mov 1.11.jpg,6,155.376,0.08,Eye width,Pheidole hyatti
Mov 1.11.jpg,7,157.098,0.611,Head width,Pheidole hyatti
Mov 1.11.jpg,8,-107.56,0.998,Webers,Pheidole hyatti
Mov 1.12.jpg,1,26.352,1.079,Femur,Pheidole hyatti
Mov 1.12.jpg,2,5.563,0.926,Scape,Pheidole hyatti
Mov 1.12.jpg,3,53.791,0.416,Mandible length,Pheidole hyatti
Mov 1.12.jpg,4,6.082,0.735,Head length,Pheidole hyatti
Mov 1.12.jpg,5,4.014,0.171,Eye length,Pheidole hyatti
Mov 1.12.jpg,6,-85.601,0.117,Eye width,Pheidole hyatti
Mov 1.12.jpg,7,-82.581,0.58,Head width,Pheidole hyatti
Mov 1.12.jpg,8,-4.611,0.931,Webers,Pheidole hyatti
Mov 2.1.jpg,1,156.184,0.938,Femur,Dorymyrmex bicolor
Mov 2.1.jpg,2,58.496,0.753,Scape,Dorymyrmex bicolor
Mov 2.1.jpg,3,107.745,0.388,Mandible length,Dorymyrmex bicolor
Mov 2.1.jpg,4,179.526,0.716,Head length,Dorymyrmex bicolor
Mov 2.1.jpg,5,177.546,0.207,Eye length,Dorymyrmex bicolor
Mov 2.1.jpg,6,-90,0.112,Eye width,Dorymyrmex bicolor
Mov 2.1.jpg,7,-91.685,0.604,Head width,Dorymyrmex bicolor
Mov 2.1.jpg,8,175.301,0.867,Webers,Dorymyrmex bicolor
Mov 2.2.jpg,1,167.12,1.013,Femur,Dorymyrmex bicolor
Mov 2.2.jpg,2,162.196,0.778,Scape,Dorymyrmex bicolor
Mov 2.2.jpg,3,-74.291,0.401,Mandible length,Dorymyrmex bicolor
Mov 2.2.jpg,4,4.349,0.794,Head length,Dorymyrmex bicolor
Mov 2.2.jpg,5,11.929,0.219,Eye length,Dorymyrmex bicolor
Mov 2.2.jpg,6,-74.407,0.134,Eye width,Dorymyrmex bicolor
Mov 2.2.jpg,7,97.836,0.663,Head width,Dorymyrmex bicolor
Mov 2.2.jpg,8,17.17,0.949,Webers,Dorymyrmex bicolor
Mov 2.3.jpg,1,-18.371,1.057,Femur,Dorymyrmex bicolor
Mov 2.3.jpg,2,-129.144,0.821,Scape,Dorymyrmex bicolor
Mov 2.3.jpg,3,-47.974,0.404,Mandible length,Dorymyrmex bicolor
Mov 2.3.jpg,4,32.735,0.801,Head length,Dorymyrmex bicolor
Mov 2.3.jpg,5,-150.376,0.217,Eye length,Dorymyrmex bicolor
Mov 2.3.jpg,6,128.928,0.124,Eye width,Dorymyrmex bicolor
Mov 2.3.jpg,7,121.118,0.709,Head width,Dorymyrmex bicolor
Mov 2.3.jpg,8,18.644,0.961,Webers,Dorymyrmex bicolor
Mov 2.4.jpg,1,139.004,1.058,Femur,Dorymyrmex bicolor
Mov 2.4.jpg,2,-127.266,0.862,Scape,Dorymyrmex bicolor
Mov 2.4.jpg,3,-34.216,0.451,Mandible length,Dorymyrmex bicolor
Mov 2.4.jpg,4,46.265,0.836,Head length,Dorymyrmex bicolor
Mov 2.4.jpg,5,-134.397,0.251,Eye length,Dorymyrmex bicolor
Mov 2.4.jpg,6,139.399,0.138,Eye width,Dorymyrmex bicolor
Mov 2.4.jpg,7,136.625,0.744,Head width,Dorymyrmex bicolor
Mov 2.4.jpg,8,-158.124,1.061,Webers,Dorymyrmex bicolor
Mov 2.5.jpg,1,161.875,1.074,Femur,Dorymyrmex bicolor
Mov 2.5.jpg,2,-30.294,0.808,Scape,Dorymyrmex bicolor
Mov 2.5.jpg,3,-166.209,0.416,Mandible length,Dorymyrmex bicolor
Mov 2.5.jpg,4,86.805,0.79,Head length,Dorymyrmex bicolor
Mov 2.5.jpg,5,-90.909,0.231,Eye length,Dorymyrmex bicolor
Mov 2.5.jpg,6,178.409,0.132,Eye width,Dorymyrmex bicolor
Mov 2.5.jpg,7,176.939,0.687,Head width,Dorymyrmex bicolor
Mov 2.5.jpg,8,147.928,1.009,Webers,Dorymyrmex bicolor
Mov 2.6.jpg,1,-52.306,1.014,Femur,Dorymyrmex bicolor
Mov 2.6.jpg,2,140.729,0.801,Scape,Dorymyrmex bicolor
Mov 2.6.jpg,3,-100.784,0.39,Mandible length,Dorymyrmex bicolor
Mov 2.6.jpg,4,152.376,0.795,Head length,Dorymyrmex bicolor
Mov 2.6.jpg,5,-31.122,0.226,Eye length,Dorymyrmex bicolor
Mov 2.6.jpg,6,57.995,0.138,Eye width,Dorymyrmex bicolor
Mov 2.6.jpg,7,62.328,0.676,Head width,Dorymyrmex bicolor
Mov 2.6.jpg,8,36.124,0.953,Webers,Dorymyrmex bicolor
Mov 2.7.jpg,1,-0.512,1.622,Femur,Myrmecocystus
Mov 2.7.jpg,2,-10.201,1.247,Scape,Myrmecocystus
Mov 2.7.jpg,3,15.161,0.581,Mandible length,Myrmecocystus
Mov 2.7.jpg,4,76.512,1.102,Head length,Myrmecocystus
Mov 2.7.jpg,5,-102.031,0.226,Eye length,Myrmecocystus
Mov 2.7.jpg,6,166.675,0.141,Eye width,Myrmecocystus
Mov 2.7.jpg,7,166.393,0.939,Head width,Myrmecocystus
Mov 2.7.jpg,8,54.251,1.481,Webers,Myrmecocystus
Mov 2.8.jpg,1,156.66,1.412,Femur,Myrmecocystus
Mov 2.8.jpg,2,-21.765,1.091,Scape,Myrmecocystus
Mov 2.8.jpg,3,-45.623,0.492,Mandible length,Myrmecocystus
Mov 2.8.jpg,4,39.748,0.964,Head length,Myrmecocystus
Mov 2.8.jpg,5,-140.08,0.242,Eye length,Myrmecocystus
Mov 2.8.jpg,6,133.877,0.136,Eye width,Myrmecocystus
Mov 2.8.jpg,7,-56.17,0.856,Head width,Myrmecocystus
Mov 2.8.jpg,8,-20.884,1.315,Webers,Myrmecocystus
Mov 2.9.jpg,1,50.834,1.856,Femur,Myrmecocystus
Mov 2.9.jpg,2,58.081,1.414,Scape,Myrmecocystus
Mov 2.9.jpg,3,28.21,0.693,Mandible length,Myrmecocystus
Mov 2.9.jpg,4,101.413,1.328,Head length,Myrmecocystus
Mov 2.9.jpg,5,-79.287,0.304,Eye length,Myrmecocystus
Mov 2.9.jpg,6,-166.675,0.158,Eye width,Myrmecocystus
Mov 2.9.jpg,7,12.419,1.147,Head width,Myrmecocystus
Mov 2.9.jpg,8,176.641,1.725,Webers,Myrmecocystus
Mov 2.10.jpg,1,-38.797,1.924,Femur,Myrmecocystus
Mov 2.10.jpg,2,-165.964,1.424,Scape,Myrmecocystus
Mov 2.10.jpg,3,53.13,0.661,Mandible length,Myrmecocystus
Mov 2.10.jpg,4,123.422,1.308,Head length,Myrmecocystus
Mov 2.10.jpg,5,-49.014,0.297,Eye length,Myrmecocystus
Mov 2.10.jpg,6,-147.339,0.17,Eye width,Myrmecocystus
Mov 2.10.jpg,7,-142.703,1.183,Head width,Myrmecocystus
Mov 2.10.jpg,8,-164.102,1.838,Webers,Myrmecocystus
Mov 2.11.jpg,1,146.982,1.511,Femur,Myrmecocystus
Mov 2.11.jpg,2,-112.055,1.191,Scape,Myrmecocystus
Mov 2.11.jpg,3,68.412,0.53,Mandible length,Myrmecocystus
Mov 2.11.jpg,4,134.869,1.096,Head length,Myrmecocystus
Mov 2.11.jpg,5,-48.013,0.239,Eye length,Myrmecocystus
Mov 2.11.jpg,6,43.781,0.118,Eye width,Myrmecocystus
Mov 2.11.jpg,7,45.303,0.948,Head width,Myrmecocystus
Mov 2.11.jpg,8,-173.558,1.55,Webers,Myrmecocystus
Mov 2.12.jpg,1,-41.379,1.599,Femur,Myrmecocystus
Mov 2.12.jpg,2,126.769,1.217,Scape,Myrmecocystus
Mov 2.12.jpg,3,-14.4,0.546,Mandible length,Myrmecocystus
Mov 2.12.jpg,4,-132.379,1.049,Head length,Myrmecocystus
Mov 2.12.jpg,5,-132.166,0.255,Eye length,Myrmecocystus
Mov 2.12.jpg,6,140.906,0.147,Eye width,Myrmecocystus
Mov 2.12.jpg,7,-48.171,0.958,Head width,Myrmecocystus
Mov 2.12.jpg,8,-63.028,1.575,Webers,Myrmecocystus
Mov 3.1.jpg,1,-37.578,1.413,Femur,Messor pergandei
Mov 3.1.jpg,2,-37.454,0.998,Scape,Messor pergandei
Mov 3.1.jpg,3,-70.807,0.608,Mandible length,Messor pergandei
Mov 3.1.jpg,4,-133.575,1.034,Head length,Messor pergandei
Mov 3.1.jpg,5,-134.493,0.291,Eye length,Messor pergandei
Mov 3.1.jpg,6,133.264,0.085,Eye width,Messor pergandei
Mov 3.1.jpg,7,-48.97,1.002,Head width,Messor pergandei
Mov 3.1.jpg,8,112.437,1.4,Webers,Messor pergandei
Mov 3.2.jpg,1,173.427,1.824,Femur,Messor pergandei
Mov 3.2.jpg,2,-25.154,1.219,Scape,Messor pergandei
Mov 3.2.jpg,3,63.722,0.665,Mandible length,Messor pergandei
Mov 3.2.jpg,4,130.698,1.441,Head length,Messor pergandei
Mov 3.2.jpg,5,-50.937,0.331,Eye length,Messor pergandei
Mov 3.2.jpg,6,-142.853,0.154,Eye width,Messor pergandei
Mov 3.2.jpg,7,-141.092,1.342,Head width,Messor pergandei
Mov 3.2.jpg,8,178.618,1.701,Webers,Messor pergandei
Mov 3.3.jpg,1,116.565,1.657,Femur,Messor pergandei
Mov 3.3.jpg,2,-71.509,1.157,Scape,Messor pergandei
Mov 3.3.jpg,3,-127.9,0.72,Mandible length,Messor pergandei
Mov 3.3.jpg,4,157.545,1.346,Head length,Messor pergandei
Mov 3.3.jpg,5,154.075,0.288,Eye length,Messor pergandei
Mov 3.3.jpg,6,69.444,0.123,Eye width,Messor pergandei
Mov 3.3.jpg,7,65.681,1.231,Head width,Messor pergandei
Mov 3.3.jpg,8,-33.954,1.513,Webers,Messor pergandei
Mov 3.4.jpg,1,-50.674,1.642,Femur,Messor pergandei
Mov 3.4.jpg,2,25.006,1.157,Scape,Messor pergandei
Mov 3.4.jpg,3,59.281,0.595,Mandible length,Messor pergandei
Mov 3.4.jpg,4,4.791,1.286,Head length,Messor pergandei
Mov 3.4.jpg,5,0.682,0.311,Eye length,Messor pergandei
Mov 3.4.jpg,6,88.568,0.148,Eye width,Messor pergandei
Mov 3.4.jpg,7,92.81,1.209,Head width,Messor pergandei
Mov 3.4.jpg,8,96.735,1.484,Webers,Messor pergandei
Mov 3.5.jpg,1,-36.364,1.762,Femur,Messor pergandei
Mov 3.5.jpg,2,-105.393,1.214,Scape,Messor pergandei
Mov 3.5.jpg,3,-86.775,0.79,Mandible length,Messor pergandei
Mov 3.5.jpg,4,-150.634,1.458,Head length,Messor pergandei
Mov 3.5.jpg,5,-149.876,0.347,Eye length,Messor pergandei
Mov 3.5.jpg,6,-66.251,0.101,Eye width,Messor pergandei
Mov 3.5.jpg,7,120.562,1.449,Head width,Messor pergandei
Mov 3.5.jpg,8,9.246,1.775,Webers,Messor pergandei
Mov 3.6.jpg,1,-66.464,1.567,Femur,Messor pergandei
Mov 3.6.jpg,2,-152.053,1.098,Scape,Messor pergandei
Mov 3.6.jpg,3,47.592,0.637,Mandible length,Messor pergandei
Mov 3.6.jpg,4,116.194,1.279,Head length,Messor pergandei
Mov 3.6.jpg,5,-65.807,0.28,Eye length,Messor pergandei
Mov 3.6.jpg,6,-155.433,0.142,Eye width,Messor pergandei
Mov 3.6.jpg,7,22.001,1.186,Head width,Messor pergandei
Mov 3.6.jpg,8,-34.658,1.458,Webers,Messor pergandei
Papl 1.1.jpg,1,-23.912,0.707,Femur,Solenopsis xyloni
Papl 1.1.jpg,2,-22.135,0.518,Scape,Solenopsis xyloni
Papl 1.1.jpg,3,-54.425,0.36,Mandible length,Solenopsis xyloni
Papl 1.1.jpg,4,-118.372,0.663,Head length,Solenopsis xyloni
Papl 1.1.jpg,5,61.294,0.097,Eye length,Solenopsis xyloni
Papl 1.1.jpg,6,148.241,0.05,Eye width,Solenopsis xyloni
Papl 1.1.jpg,7,150.888,0.593,Head width,Solenopsis xyloni
Papl 1.1.jpg,8,168.28,0.78,Webers,Solenopsis xyloni
Papl 1.2.jpg,1,-127.02,0.477,Femur,Solenopsis xyloni
Papl 1.2.jpg,2,-108.658,0.508,Scape,Solenopsis xyloni
Papl 1.2.jpg,3,-35.38,0.353,Mandible length,Solenopsis xyloni
Papl 1.2.jpg,4,34.909,0.706,Head length,Solenopsis xyloni
Papl 1.2.jpg,5,-156.251,0.114,Eye length,Solenopsis xyloni
Papl 1.2.jpg,6,118.811,0.048,Eye width,Solenopsis xyloni
Papl 1.2.jpg,7,122.11,0.607,Head width,Solenopsis xyloni
Papl 1.2.jpg,8,-179.105,0.8,Webers,Solenopsis xyloni
Papl 1.3.jpg,1,27.677,0.929,Femur,Solenopsis xyloni
Papl 1.3.jpg,2,-87.879,0.654,Scape,Solenopsis xyloni
Papl 1.3.jpg,3,-150.001,0.452,Mandible length,Solenopsis xyloni
Papl 1.3.jpg,4,137.917,0.896,Head length,Solenopsis xyloni
Papl 1.3.jpg,5,-46.548,0.106,Eye length,Solenopsis xyloni
Papl 1.3.jpg,6,50.194,0.063,Eye width,Solenopsis xyloni
Papl 1.3.jpg,7,48.39,0.82,Head width,Solenopsis xyloni
Papl 1.3.jpg,8,136.6,1.021,Webers,Solenopsis xyloni
Papl 1.4.jpg,1,-17.192,0.789,Femur,Solenopsis xyloni
Papl 1.4.jpg,2,85.342,0.564,Scape,Solenopsis xyloni
Papl 1.4.jpg,3,-42.346,0.445,Mandible length,Solenopsis xyloni
Papl 1.4.jpg,4,-106.06,0.715,Head length,Solenopsis xyloni
Papl 1.4.jpg,5,-99.904,0.133,Eye length,Solenopsis xyloni
Papl 1.4.jpg,6,162.646,0.07,Eye width,Solenopsis xyloni
Papl 1.4.jpg,7,-16.595,0.656,Head width,Solenopsis xyloni
Papl 1.4.jpg,8,135.964,0.875,Webers,Solenopsis xyloni
Papl 1.5.jpg,1,45.674,0.733,Femur,Solenopsis xyloni
Papl 1.5.jpg,2,62.688,0.558,Scape,Solenopsis xyloni
Papl 1.5.jpg,3,160.388,0.375,Mandible length,Solenopsis xyloni
Papl 1.5.jpg,4,100.217,0.71,Head length,Solenopsis xyloni
Papl 1.5.jpg,5,-82.147,0.119,Eye length,Solenopsis xyloni
Papl 1.5.jpg,6,-171.469,0.055,Eye width,Solenopsis xyloni
Papl 1.5.jpg,7,9.401,0.622,Head width,Solenopsis xyloni
Papl 1.5.jpg,8,14.609,0.838,Webers,Solenopsis xyloni
Papl 1.6.jpg,1,-94.488,0.707,Femur,Solenopsis xyloni
Papl 1.6.jpg,2,31.04,0.528,Scape,Solenopsis xyloni
Papl 1.6.jpg,3,-39.936,0.345,Mandible length,Solenopsis xyloni
Papl 1.6.jpg,4,27.361,0.66,Head length,Solenopsis xyloni
Papl 1.6.jpg,5,-154.011,0.122,Eye length,Solenopsis xyloni
Papl 1.6.jpg,6,126.87,0.027,Eye width,Solenopsis xyloni
Papl 1.6.jpg,7,118.274,0.594,Head width,Solenopsis xyloni
Papl 1.6.jpg,8,-33.69,0.746,Webers,Solenopsis xyloni
Papl 1.7.jpg,1,153.435,1.118,Femur,Pheidole hyatti
Papl 1.7.jpg,2,9.273,1.001,Scape,Pheidole hyatti
Papl 1.7.jpg,3,60.461,0.417,Mandible length,Pheidole hyatti
Papl 1.7.jpg,4,121.017,0.743,Head length,Pheidole hyatti
Papl 1.7.jpg,5,-64.058,0.166,Eye length,Pheidole hyatti
Papl 1.7.jpg,6,32.905,0.082,Eye width,Pheidole hyatti
Papl 1.7.jpg,7,29.883,0.623,Head width,Pheidole hyatti
Papl 1.7.jpg,8,-109.588,0.95,Webers,Pheidole hyatti
Papl 1.8.jpg,1,35.513,1.081,Femur,Pheidole hyatti
Papl 1.8.jpg,2,130.491,0.899,Scape,Pheidole hyatti
Papl 1.8.jpg,3,-109.156,0.402,Mandible length,Pheidole hyatti
Papl 1.8.jpg,4,-161.764,0.728,Head length,Pheidole hyatti
Papl 1.8.jpg,5,-158.459,0.163,Eye length,Pheidole hyatti
Papl 1.8.jpg,6,117.759,0.086,Eye width,Pheidole hyatti
Papl 1.8.jpg,7,110.376,0.597,Head width,Pheidole hyatti
Papl 1.8.jpg,8,-32.666,0.993,Webers,Pheidole hyatti
Papl 1.9.jpg,1,-36.124,1.079,Femur,Pheidole hyatti
Papl 1.9.jpg,2,36.821,0.965,Scape,Pheidole hyatti
Papl 1.9.jpg,3,36.225,0.441,Mandible length,Pheidole hyatti
Papl 1.9.jpg,4,-11.07,0.775,Head length,Pheidole hyatti
Papl 1.9.jpg,5,-10.784,0.177,Eye length,Pheidole hyatti
Papl 1.9.jpg,6,77.196,0.093,Eye width,Pheidole hyatti
Papl 1.9.jpg,7,77.033,0.645,Head width,Pheidole hyatti
Papl 1.9.jpg,8,120.222,0.985,Webers,Pheidole hyatti
Papl 1.10.jpg,1,80.831,1.045,Femur,Pheidole hyatti
Papl 1.10.jpg,2,102.162,0.964,Scape,Pheidole hyatti
Papl 1.10.jpg,3,96.155,0.417,Mandible length,Pheidole hyatti
Papl 1.10.jpg,4,37.493,0.748,Head length,Pheidole hyatti
Papl 1.10.jpg,5,-142.883,0.189,Eye length,Pheidole hyatti
Papl 1.10.jpg,6,124.992,0.099,Eye width,Pheidole hyatti
Papl 1.10.jpg,7,-53.915,0.593,Head width,Pheidole hyatti
Papl 1.10.jpg,8,73.957,0.985,Webers,Pheidole hyatti
Papl 1.11.jpg,1,-16.46,1.157,Femur,Pheidole hyatti
Papl 1.11.jpg,2,-160.157,1.027,Scape,Pheidole hyatti
Papl 1.11.jpg,3,-161.274,0.436,Mandible length,Pheidole hyatti
Papl 1.11.jpg,4,146.592,0.789,Head length,Pheidole hyatti
Papl 1.11.jpg,5,-33.573,0.19,Eye length,Pheidole hyatti
Papl 1.11.jpg,6,55.886,0.105,Eye width,Pheidole hyatti
Papl 1.11.jpg,7,55.25,0.651,Head width,Pheidole hyatti
Papl 1.11.jpg,8,117.851,1.088,Webers,Pheidole hyatti
Papl 1.12.jpg,1,-54.513,1.086,Femur,Pheidole hyatti
Papl 1.12.jpg,2,-75.851,1.005,Scape,Pheidole hyatti
Papl 1.12.jpg,3,-109.502,0.417,Mandible length,Pheidole hyatti
Papl 1.12.jpg,4,-157.917,0.773,Head length,Pheidole hyatti
Papl 1.12.jpg,5,-157.834,0.179,Eye length,Pheidole hyatti
Papl 1.12.jpg,6,118.926,0.089,Eye width,Pheidole hyatti
Papl 1.12.jpg,7,113.906,0.632,Head width,Pheidole hyatti
Papl 1.12.jpg,8,22.674,0.999,Webers,Pheidole hyatti
Papl 2.1.jpg,1,82.057,7.23,Femur,Cyphomyrmex wheeleri
Papl 2.1.jpg,2,-42.138,5.895,Scape,Cyphomyrmex wheeleri
Papl 2.1.jpg,3,160.396,3.226,Mandible length,Cyphomyrmex wheeleri
Papl 2.1.jpg,4,-167.229,6.403,Head length,Cyphomyrmex wheeleri
Papl 2.1.jpg,5,-175.101,1.462,Eye length,Cyphomyrmex wheeleri
Papl 2.1.jpg,6,90,0.999,Eye width,Cyphomyrmex wheeleri
Papl 2.1.jpg,7,99.43,6.098,Head width,Cyphomyrmex wheeleri
Papl 2.1.jpg,8,-14.175,8.33,Webers,Cyphomyrmex wheeleri
Papl 2.2.jpg,1,150.917,0.812,Femur,Cyphomyrmex wheeleri
Papl 2.2.jpg,2,-101.191,0.595,Scape,Cyphomyrmex wheeleri
Papl 2.2.jpg,3,163.652,0.328,Mandible length,Cyphomyrmex wheeleri
Papl 2.2.jpg,4,123.69,0.636,Head length,Cyphomyrmex wheeleri
Papl 2.2.jpg,5,-61.113,0.139,Eye length,Cyphomyrmex wheeleri
Papl 2.2.jpg,6,-147.529,0.055,Eye width,Cyphomyrmex wheeleri
Papl 2.2.jpg,7,33.358,0.603,Head width,Cyphomyrmex wheeleri
Papl 2.2.jpg,8,5.117,0.847,Webers,Cyphomyrmex wheeleri
Papl 2.3.jpg,1,-18.893,0.817,Femur,Cyphomyrmex wheeleri
Papl 2.3.jpg,2,-76.974,0.568,Scape,Cyphomyrmex wheeleri
Papl 2.3.jpg,3,-53.768,0.297,Mandible length,Cyphomyrmex wheeleri
Papl 2.3.jpg,4,-11.206,0.67,Head length,Cyphomyrmex wheeleri
Papl 2.3.jpg,5,-6.34,0.15,Eye length,Cyphomyrmex wheeleri
Papl 2.3.jpg,6,86.186,0.093,Eye width,Cyphomyrmex wheeleri
Papl 2.3.jpg,7,76.059,0.6,Head width,Cyphomyrmex wheeleri
Papl 2.3.jpg,8,-137.039,0.903,Webers,Cyphomyrmex wheeleri
Papl 2.7.jpg,1,-136.042,0.47,Scape,Temnothorax andrei
Papl 2.7.jpg,2,-35.487,0.267,Mandible length,Temnothorax andrei
Papl 2.7.jpg,3,-97.334,0.615,Head length,Temnothorax andrei
Papl 2.7.jpg,4,-95.807,0.119,Eye length,Temnothorax andrei
Papl 2.7.jpg,5,175.601,0.053,Eye width,Temnothorax andrei
Papl 2.7.jpg,6,176.216,0.519,Head width,Temnothorax andrei
Papl 2.7.jpg,7,125.502,0.742,Webers,Temnothorax andrei
Papl 2.8.jpg,1,-120.256,0.402,Femur,Temnothorax andrei
Papl 2.8.jpg,2,-120.651,0.389,Scape,Temnothorax andrei
Papl 2.8.jpg,3,-13.331,0.224,Mandible length,Temnothorax andrei
Papl 2.8.jpg,4,-78.801,0.521,Head length,Temnothorax andrei
Papl 2.8.jpg,5,-79.011,0.108,Eye length,Temnothorax andrei
Papl 2.8.jpg,6,-165.069,0.048,Eye width,Temnothorax andrei
Papl 2.8.jpg,7,-167.471,0.4,Head width,Temnothorax andrei
Papl 2.8.jpg,8,97.174,0.595,Webers,Temnothorax andrei
Papl 2.9.jpg,1,-116.913,0.472,Femur,Temnothorax andrei
Papl 2.9.jpg,2,49.399,0.453,Scape,Temnothorax andrei
Papl 2.9.jpg,3,29.055,0.264,Mandible length,Temnothorax andrei
Papl 2.9.jpg,4,-33.69,0.647,Head length,Temnothorax andrei
Papl 2.9.jpg,5,-36.87,0.149,Eye length,Temnothorax andrei
Papl 2.9.jpg,6,48.18,0.054,Eye width,Temnothorax andrei
Papl 2.9.jpg,7,56.374,0.528,Head width,Temnothorax andrei
Papl 2.9.jpg,8,168.579,0.647,Webers,Temnothorax andrei
Papl 2.10.jpg,1,-0.262,0.46,Femur,Temnothorax andrei
Papl 2.10.jpg,2,-103.116,0.444,Scape,Temnothorax andrei
Papl 2.10.jpg,3,-115.84,0.247,Mandible length,Temnothorax andrei
Papl 2.10.jpg,4,-172.829,0.651,Head length,Temnothorax andrei
Papl 2.10.jpg,5,-171.714,0.146,Eye length,Temnothorax andrei
Papl 2.10.jpg,6,100.305,0.047,Eye width,Temnothorax andrei
Papl 2.10.jpg,7,96.868,0.504,Head width,Temnothorax andrei
Papl 2.10.jpg,8,62.042,0.618,Webers,Temnothorax andrei
PaPl 3.1.jpg,1,127.308,2.229,Femur,Messor andrei
PaPl 3.1.jpg,2,134.885,1.426,Scape,Messor andrei
PaPl 3.1.jpg,3,-97.088,0.789,Mandible length,Messor andrei
PaPl 3.1.jpg,4,-164.816,1.719,Head length,Messor andrei
PaPl 3.1.jpg,5,-166.842,0.321,Eye length,Messor andrei
PaPl 3.1.jpg,6,112.109,0.14,Eye width,Messor andrei
PaPl 3.1.jpg,7,106.928,1.755,Head width,Messor andrei
PaPl 3.1.jpg,8,-33.387,2.337,Webers,Messor andrei
PaPl 3.2.jpg,1,-55.834,2.226,Femur,Messor andrei
PaPl 3.2.jpg,2,172.363,1.505,Scape,Messor andrei
PaPl 3.2.jpg,3,-169.472,0.958,Mandible length,Messor andrei
PaPl 3.2.jpg,4,-101.31,1.699,Head length,Messor andrei
PaPl 3.2.jpg,5,-101.889,0.324,Eye length,Messor andrei
PaPl 3.2.jpg,6,169.38,0.136,Eye width,Messor andrei
PaPl 3.2.jpg,7,166.701,1.648,Head width,Messor andrei
PaPl 3.2.jpg,8,17.039,2.218,Webers,Messor andrei
PaPl 3.3.jpg,1,-174.355,2.179,Femur,Messor andrei
PaPl 3.3.jpg,2,-31.629,1.49,Scape,Messor andrei
PaPl 3.3.jpg,3,2.056,0.82,Mandible length,Messor andrei
PaPl 3.3.jpg,4,70.131,1.805,Head length,Messor andrei
PaPl 3.3.jpg,5,-105.396,0.301,Eye length,Messor andrei
PaPl 3.3.jpg,6,168.69,0.086,Eye width,Messor andrei
PaPl 3.3.jpg,7,-20.807,1.798,Head width,Messor andrei
PaPl 3.3.jpg,8,-131.935,2.389,Webers,Messor andrei
PaPl 3.4.jpg,1,-90.574,2.045,Femur,Messor andrei
PaPl 3.4.jpg,2,-148.978,1.391,Scape,Messor andrei
PaPl 3.4.jpg,3,-54.082,0.789,Mandible length,Messor andrei
PaPl 3.4.jpg,4,19.003,1.699,Head length,Messor andrei
PaPl 3.4.jpg,5,-168.071,0.297,Eye length,Messor andrei
PaPl 3.4.jpg,6,109.44,0.148,Eye width,Messor andrei
PaPl 3.4.jpg,7,107.9,1.667,Head width,Messor andrei
PaPl 3.4.jpg,8,40.93,2.245,Webers,Messor andrei
PaPl 3.5.jpg,1,-148.649,2.435,Femur,Messor andrei
PaPl 3.5.jpg,2,171.688,1.672,Scape,Messor andrei
PaPl 3.5.jpg,3,99.35,1.051,Mandible length,Messor andrei
PaPl 3.5.jpg,4,162.345,1.937,Head length,Messor andrei
PaPl 3.5.jpg,5,162.688,0.336,Eye length,Messor andrei
PaPl 3.5.jpg,6,68.199,0.157,Eye width,Messor andrei
PaPl 3.5.jpg,7,72.747,1.981,Head width,Messor andrei
PaPl 3.5.jpg,8,1.205,2.575,Webers,Messor andrei
PaPl 3.6.jpg,1,-13.557,2.3,Femur,Messor andrei
PaPl 3.6.jpg,2,-95.773,1.458,Scape,Messor andrei
PaPl 3.6.jpg,3,-156.938,0.87,Mandible length,Messor andrei
PaPl 3.6.jpg,4,128.462,1.797,Head length,Messor andrei
PaPl 3.6.jpg,5,133.506,0.322,Eye length,Messor andrei
PaPl 3.6.jpg,6,-135,0.14,Eye width,Messor andrei
PaPl 3.6.jpg,7,-132.026,1.729,Head width,Messor andrei
PaPl 3.6.jpg,8,16.847,2.352,Webers,Messor andrei
PaPl 3.7.jpg,1,150.721,1.612,Femur,Myrmecocystus
PaPl 3.7.jpg,2,-74.628,1.227,Scape,Myrmecocystus
PaPl 3.7.jpg,3,-25.137,0.584,Mandible length,Myrmecocystus
PaPl 3.7.jpg,4,-90.83,1.122,Head length,Myrmecocystus
PaPl 3.7.jpg,5,-91.685,0.277,Eye length,Myrmecocystus
PaPl 3.7.jpg,6,180,0.163,Eye width,Myrmecocystus
PaPl 3.7.jpg,7,179.763,0.984,Head width,Myrmecocystus
PaPl 3.7.jpg,8,18.074,1.428,Webers,Myrmecocystus
PaPl 3.8.jpg,1,-122.206,1.504,Femur,Myrmecocystus
PaPl 3.8.jpg,2,168.325,1.143,Scape,Myrmecocystus
PaPl 3.8.jpg,3,-55.934,0.524,Mandible length,Myrmecocystus
PaPl 3.8.jpg,4,2.827,1.005,Head length,Myrmecocystus
PaPl 3.8.jpg,5,5.29,0.224,Eye length,Myrmecocystus
PaPl 3.8.jpg,6,99.866,0.096,Eye width,Myrmecocystus
PaPl 3.8.jpg,7,94.83,0.883,Head width,Myrmecocystus
PaPl 3.8.jpg,8,-88.315,1.406,Webers,Myrmecocystus
PaPl 3.9.jpg,1,120.45,1.513,Femur,Myrmecocystus
PaPl 3.9.jpg,2,140.365,1.166,Scape,Myrmecocystus
PaPl 3.9.jpg,3,6.429,0.595,Mandible length,Myrmecocystus
